date,open,close
'2023/06/29 10:00,16930.41,17002.78
'2023/06/29 11:00,17000.48,16940.59
'2023/06/29 12:00,16940.71,16933.8
'2023/06/29 13:00,16937.29,16935.34
'2023/06/29 14:00,16928.05,16942.3
'2023/06/30 10:00,16870.27,16833.96
'2023/06/30 11:00,16833.38,16827.58
'2023/06/30 12:00,16827.7,16884.78
'2023/06/30 13:00,16884.35,16888.92
'2023/06/30 14:00,16896.01,16915.54
'2023/07/03 10:00,16946.71,17082.54
'2023/07/03 11:00,17082.68,17062.25
'2023/07/03 12:00,17062.49,17084.08
'2023/07/03 13:00,17082.4,17081.49
'2023/07/03 14:00,17078.44,17084.2
'2023/07/04 10:00,17055.19,17099.68
'2023/07/04 11:00,17094.67,17114.62
'2023/07/04 12:00,17114.25,17125.25
'2023/07/04 13:00,17134.62,17131.21
'2023/07/04 14:00,17128.55,17140.77
'2023/07/05 10:00,17130.26,17110.63
'2023/07/05 11:00,17110.41,17107.27
'2023/07/05 12:00,17114.5,17091.8
'2023/07/05 13:00,17092.43,17057.29
'2023/07/05 14:00,17056.8,17056.43
'2023/07/06 10:00,17017.09,16936.57
'2023/07/06 11:00,16943.73,16858.12
'2023/07/06 12:00,16859.48,16789.95
'2023/07/06 13:00,16790.49,16795.05
'2023/07/06 14:00,16795.02,16762.17
'2023/07/07 10:00,16736.94,16616.2
'2023/07/07 11:00,16617.13,16702.88
'2023/07/07 12:00,16698.93,16717.85
'2023/07/07 13:00,16717.79,16692.4
'2023/07/07 14:00,16692.1,16664.21
'2023/07/10 10:00,16667.43,16744.74
'2023/07/10 11:00,16743.13,16761.23
'2023/07/10 12:00,16760.21,16678.87
'2023/07/10 13:00,16677.01,16707.51
'2023/07/10 14:00,16707.29,16652.8
'2023/07/11 10:00,16675.69,16846.83
'2023/07/11 11:00,16847.17,16871.12
'2023/07/11 12:00,16868,16872.1
'2023/07/11 13:00,16875.69,16863.66
'2023/07/11 14:00,16866.04,16898.91
'2023/07/12 10:00,16903.25,16906.89
'2023/07/12 11:00,16899.07,16938.89
'2023/07/12 12:00,16941.89,16915.59
'2023/07/12 13:00,16912.4,16938.47
'2023/07/12 14:00,16936.95,16962.03
'2023/07/13 10:00,16994.59,17204.31
'2023/07/13 11:00,17197.66,17190.99
'2023/07/13 12:00,17190.43,17205.19
'2023/07/13 13:00,17207.78,17089.45
'2023/07/13 14:00,17094.99,17061.4
'2023/07/14 10:00,17152.81,17168.04
'2023/07/14 11:00,17166.29,17254.86
'2023/07/14 12:00,17255.28,17251.04
'2023/07/14 13:00,17257.76,17273.26
'2023/07/14 14:00,17283.03,17283.71
'2023/07/17 10:00,17279.11,17301.68
'2023/07/17 11:00,17302.35,17341.51
'2023/07/17 12:00,17340.74,17280.93
'2023/07/17 13:00,17281.52,17311.23
'2023/07/17 14:00,17311.27,17334.29
'2023/07/18 10:00,17368.36,17246.92
'2023/07/18 11:00,17249.75,17284.48
'2023/07/18 12:00,17293.74,17262.61
'2023/07/18 13:00,17263.58,17244.88
'2023/07/18 14:00,17247.01,17227.91
'2023/07/19 10:00,17265.38,17317.93
'2023/07/19 11:00,17310.46,17233.07
'2023/07/19 12:00,17230.62,17216.24
