date_only,future_10,future_2,future_9,index_10,index_2,index_9
2023-09-25,16424,16464,16352,16433.02,16452.23,16345.78
2023-09-26,16318,16308,16400,16360.88,16276.07,16440.26
2023-09-27,16293,16311,16246,16298.9,16310.36,16273.84
2023-09-28,16366,16368,16342,16376.31,16353.74,16330.71
2023-10-02,16596,16557,16531,16544.94,16557.31,16382.96
2023-10-03,16546,16412,16497,16550.15,16454.34,16520.24
2023-10-04,16179,16245,16285,16273.43,16273.38,16419.48
2023-10-05,16387,16456,16300,16422.85,16453.52,16313.89
2023-10-06,16514,16531,16476,16523.7,16520.57,16482.93
2023-10-11,16727,16717,16829,16679.72,16672.03,16567.43
2023-10-12,16754,16848,16768,16725.71,16825.91,16698.85
2023-10-13,16790,16770,16750,16788.23,16782.57,16815.91
2023-10-16,16659,16648,16661,16656.33,16652.24,16712.93
2023-10-17,16737,16650,16764,16735.24,16642.55,16678.28
2023-10-18,16519,16426,16616,16494.6,16440.91,16608.02
2023-10-19,16459,16458,16365,16436.85,16452.73,16416.54
2023-10-20,16290,16413,16440,16311.85,16440.72,16434.43
2023-10-23,16328,16254,16350,16338.27,16251.36,16391.41
2023-10-24,16160,16335,16274,16198.5,16309.76,16257.8
2023-10-25,16441,16358,16370,16438.93,16358.89,16320.71
2023-10-26,16168,16069,16144,16172.17,16073.74,16305.16
2023-10-27,16191,16151,16137,16148.84,16134.61,16112.75
2023-10-30,16195,16157,16118,16189.34,16149.68,16142.06
2023-10-31,16163,15994,16180,16184.66,16001.27,16176.58
2023-11-01,16062,16048,16099,16037.83,16038.56,16027.72
2023-11-02,16351,16390,16256,16330.34,16396.95,16094.26
2023-11-03,16493,16512,16488,16482.71,16507.65,16412.54
2023-11-06,16669,16670,16680,16672.79,16649.36,16572.56
2023-11-07,16679,16709,16632,16667.68,16684.95,16650.14
2023-11-08,16754,16749,16725,16730.73,16740.83,16691.32
2023-11-09,16773,16763,16711,16731.22,16745.65,16741.16
2023-11-10,16682,16736,16664,16678.12,16682.67,16725.94
2023-11-13,16892,16876,16969,16877.7,16839.29,16711.53
2023-11-14,16948,16949,16956,16921.55,16915.71,16884.52
2023-11-15,17119,17123,17170,17109.41,17128.78,17039.62
2023-11-16,17171,17186,17196,17120.89,17171.18,17136.52
2023-11-17,17220,17222,17152,17236.69,17208.95,17155.86
