date,大盤_開盤價,大盤_最高價,大盤_最低價,大盤_收盤價,大盤_成交量,大盤_SMA5,大盤_SMA10
'2019/07/05 00:00,10785.85,10812.38,10756.67,10785.73,84885239950,10813.196,10770.943
'2019/07/08 00:00,10742.81,10781.11,10708.92,10751.22,95155988890,10784.348,10768.12
'2019/07/09 00:00,10729.83,10733.57,10680.85,10702.78,93368916995,10751.88,10767.726
'2019/07/10 00:00,10723.23,10810.16,10723.23,10798.48,1.02823E+11,10762.822,10782.319
'2019/07/11 00:00,10817.6,10856.51,10799.65,10843.42,1.29987E+11,10776.326,10789.271
'2019/07/12 00:00,10855.16,10867.59,10823.89,10824.35,1.20597E+11,10784.05,10798.623
'2019/07/15 00:00,10819.92,10880.56,10769.57,10876.43,1.17371E+11,10809.092,10796.72
'2019/07/16 00:00,10865,10899.84,10865,10886.05,1.17133E+11,10845.746,10798.813
'2019/07/17 00:00,10861.11,10861.11,10804.34,10828.48,1.12878E+11,10851.746,10807.284
'2019/07/18 00:00,10821.92,10835.43,10792.27,10799.28,1.04426E+11,10842.918,10809.622
'2019/07/19 00:00,10861.99,10919.96,10861.99,10873.19,1.22567E+11,10852.686,10818.368
'2019/07/22 00:00,10910.5,10949.76,10909.15,10944.53,1.17275E+11,10866.306,10837.699
'2019/07/23 00:00,10963.86,10994.44,10932.53,10947.26,1.26325E+11,10878.548,10862.147
'2019/07/24 00:00,10969.74,10976.46,10912.92,10935.76,1.31901E+11,10900.004,10875.875
'2019/07/25 00:00,10892.25,10945.92,10879.4,10941.41,1.32877E+11,10928.43,10885.674
'2019/07/26 00:00,10898.25,10907.44,10879.24,10891.98,1.1084E+11,10932.188,10892.437
'2019/07/29 00:00,10872.63,10905.74,10863.33,10885.73,1.04145E+11,10920.428,10893.367
'2019/07/30 00:00,10909.98,10927.16,10827.74,10830.9,1.30138E+11,10897.156,10887.852
'2019/07/31 00:00,10824.15,10835.8,10754.07,10823.81,1.28248E+11,10874.766,10887.385
'2019/08/01 00:00,10773.06,10773.25,10714.73,10731.75,1.29629E+11,10832.834,10880.632
'2019/08/02 00:00,10641.28,10641.28,10524.68,10549.04,1.58053E+11,10764.246,10848.217
'2019/08/05 00:00,10528.87,10542.49,10418.25,10423.41,1.28221E+11,10671.782,10796.105
'2019/08/06 00:00,10304.88,10425.6,10180.04,10394.75,1.45031E+11,10584.552,10740.854
'2019/08/07 00:00,10422.89,10461.37,10366.54,10386.18,1.20412E+11,10497.026,10685.896
'2019/08/08 00:00,10383.62,10500.77,10383.62,10494.49,1.23055E+11,10449.574,10641.204
'2019/08/12 00:00,10491.79,10514.05,10440.77,10472.36,1.23564E+11,10434.238,10599.242
'2019/08/13 00:00,10436.62,10436.62,10361.89,10362.66,1.17748E+11,10422.088,10546.935
'2019/08/14 00:00,10444.5,10518.02,10427.73,10427.73,1.44065E+11,10428.684,10506.618
'2019/08/15 00:00,10374.75,10374.75,10287.76,10327.13,1.21726E+11,10416.874,10456.95
'2019/08/16 00:00,10345.42,10456.32,10318.37,10420.89,1.18877E+11,10402.154,10425.864
'2019/08/19 00:00,10449.39,10516.05,10449.39,10488.75,1.19112E+11,10405.432,10419.835
'2019/08/20 00:00,10508.42,10538.12,10497.13,10522.5,1.19996E+11,10437.4,10429.744
'2019/08/21 00:00,10526.87,10545.25,10504.49,10525.8,1.08832E+11,10457.014,10442.849
'2019/08/22 00:00,10560.01,10596.41,10515.72,10529.78,1.21324E+11,10497.544,10457.209
'2019/08/23 00:00,10526.15,10541.73,10503.07,10538.11,1.08196E+11,10520.988,10461.571
'2019/08/26 00:00,10453.4,10453.4,10340.15,10354.57,1.1527E+11,10494.152,10449.792
'2019/08/27 00:00,10386.21,10431.78,10368.96,10387.23,1.20864E+11,10467.098,10452.249
'2019/08/28 00:00,10397.6,10456.3,10397.6,10434.29,1.00404E+11,10448.796,10452.905
'2019/08/29 00:00,10440.15,10466.99,10406.49,10462.43,1.02679E+11,10435.326,10466.435
'2019/08/30 00:00,10504.28,10618.05,10504.28,10618.05,1.47126E+11,10451.314,10486.151
'2019/09/02 00:00,10613.19,10634.85,10589.42,10634.85,1.04833E+11,10507.37,10500.761
'2019/09/03 00:00,10629.22,10650.15,10557.03,10558.21,1.04651E+11,10541.566,10504.332
'2019/09/04 00:00,10566.32,10670.43,10566.32,10657.31,1.05079E+11,10586.17,10517.483
'2019/09/05 00:00,10718.4,10766.6,10714.27,10756.93,1.53739E+11,10645.07,10540.198
'2019/09/06 00:00,10783.46,10803.07,10753.45,10780.64,1.30182E+11,10677.588,10564.451
'2019/09/09 00:00,10808.68,10829.44,10778.15,10801.14,1.15995E+11,10710.846,10609.108
'2019/09/10 00:00,10791.95,10810.03,10732.78,10753.58,1.19779E+11,10749.92,10645.743
'2019/09/11 00:00,10787.65,10815.59,10746.87,10790.35,1.19196E+11,10776.528,10681.349
'2019/09/12 00:00,10830.25,10862.68,10804.02,10827.55,1.16484E+11,10790.652,10717.861
'2019/09/16 00:00,10822.69,10898.13,10822.69,10898.13,1.16551E+11,10814.15,10745.869
'2019/09/17 00:00,10908.85,10912.23,10866.43,10874.5,1.14556E+11,10828.822,10769.834
'2019/09/18 00:00,10887.42,10971.54,10878.34,10929.45,1.28417E+11,10863.996,10806.958
'2019/09/19 00:00,10947.62,10954.18,10874.66,10894.7,1.12664E+11,10884.866,10830.697
'2019/09/20 00:00,10908.1,10931.76,10903.45,10929.69,1.44524E+11,10905.294,10847.973
'2019/09/23 00:00,10924.81,10948.19,10905.92,10919.02,1.05647E+11,10909.472,10861.811
'2019/09/24 00:00,10917.44,10947.53,10886.62,10918.01,1.0873E+11,10918.174,10873.498
'2019/09/25 00:00,10885.67,10885.67,10825.85,10873.69,1.04389E+11,10907.022,10885.509
'2019/09/26 00:00,10909.57,10934.91,10856.96,10871.99,1.13377E+11,10902.48,10893.673
'2019/09/27 00:00,10904,10921.17,10827.61,10829.68,1.21612E+11,10882.478,10893.886
'2019/10/01 00:00,10855.6,10967.65,10855.6,10967.65,1.45637E+11,10892.204,10900.838
'2019/10/02 00:00,10945.92,10965.2,10927.39,10947.88,1.1288E+11,10898.178,10908.176
'2019/10/03 00:00,10866.5,10888.4,10809.28,10875.91,1.19286E+11,10898.622,10902.822
'2019/10/04 00:00,10907.69,10941.49,10854.12,10894.48,1.22149E+11,10903.12,10902.8
'2019/10/07 00:00,10932.24,10954.45,10919.43,10935.06,1.13633E+11,10924.196,10903.337
'2019/10/08 00:00,10986.01,11020.51,10986.01,11017.31,1.28447E+11,10934.128,10913.166
'2019/10/09 00:00,10976.93,10989.39,10889.96,10889.96,1.28999E+11,10922.544,10910.361
'2019/10/14 00:00,11004.74,11085.49,11004.74,11066.95,1.58825E+11,10960.752,10929.687
'2019/10/15 00:00,11103.5,11126.45,11091.29,11111.8,1.30903E+11,11004.216,10953.668
'2019/10/16 00:00,11166.17,11180.11,11113.18,11162.83,1.46104E+11,11049.77,10986.983
'2019/10/17 00:00,11156.14,11186.88,11131.45,11186.88,1.21698E+11,11083.684,11008.906
'2019/10/18 00:00,11190.21,11237.38,11154.86,11180.22,1.44944E+11,11141.736,11032.14
'2019/10/21 00:00,11166.24,11188.13,11147.86,11184.15,1.01761E+11,11165.176,11062.964
'2019/10/22 00:00,11221.19,11271.25,11218.25,11271.25,1.26003E+11,11197.066,11100.641
'2019/10/23 00:00,11266.18,11281.12,11209.1,11239.67,1.39351E+11,11212.434,11131.102
'2019/10/24 00:00,11266.84,11320.14,11254.59,11320.14,1.40923E+11,11239.086,11161.385
'2019/10/25 00:00,11336.64,11347.18,11281.37,11296.12,1.28834E+11,11262.266,11202.001
'2019/10/28 00:00,11321.99,11341.03,11295.44,11315.02,1.12622E+11,11288.44,11226.808
'2019/10/29 00:00,11347.39,11373.95,11292.83,11333.87,1.45338E+11,11300.964,11249.015
'2019/10/30 00:00,11336.97,11380.28,11306.95,11380.28,1.23104E+11,11329.086,11270.76
'2019/10/31 00:00,11393.68,11428.42,11358.71,11358.71,1.52934E+11,11336.8,11287.943
'2019/11/01 00:00,11373.7,11399.53,11335.51,11399.53,1.33249E+11,11357.482,11309.874
'2019/11/04 00:00,11451.72,11559.07,11451.72,11556.85,1.56605E+11,11405.848,11347.144
'2019/11/05 00:00,11576.18,11644.03,11576.18,11644.03,1.52802E+11,11467.88,11384.422
'2019/11/06 00:00,11645.08,11668.2,11601.7,11653.07,1.59257E+11,11522.438,11425.762
'2019/11/07 00:00,11642.91,11647.47,11552.08,11606.56,1.39756E+11,11572.008,11454.404
'2019/11/08 00:00,11620.89,11642.41,11561.31,11579.54,1.34332E+11,11608.01,11482.746
'2019/11/11 00:00,11570.33,11570.33,11409.83,11427.28,1.49274E+11,11582.096,11493.972
'2019/11/12 00:00,11463.33,11520.37,11459.68,11520.37,1.18181E+11,11557.364,11512.622
'2019/11/13 00:00,11483.24,11509.37,11439.09,11467.83,1.14821E+11,11520.316,11521.377
'2019/11/14 00:00,11488.74,11498.25,11424.77,11450.42,1.31108E+11,11489.088,11530.548
'2019/11/15 00:00,11485.46,11552.25,11485.46,11525.6,1.30203E+11,11478.3,11543.155
'2019/11/18 00:00,11543.8,11599.78,11532.97,11599.78,1.08465E+11,11512.8,11547.448
'2019/11/19 00:00,11608.48,11656.4,11576.79,11656.4,1.21196E+11,11540.006,11548.685
'2019/11/20 00:00,11645.73,11649.07,11591.73,11631.2,1.16261E+11,11572.68,11546.498
'2019/11/21 00:00,11573.84,11573.84,11478.43,11558.27,1.19869E+11,11594.25,11541.669
'2019/11/22 00:00,11556.75,11577.02,11534.15,11566.8,1.07248E+11,11602.49,11540.395
'2019/11/25 00:00,11590.81,11604.75,11559.33,11561.58,1.12297E+11,11594.85,11553.825
'2019/11/26 00:00,11608.37,11642.96,11576.82,11576.82,1.99593E+11,11578.934,11559.47
'2019/11/27 00:00,11590.81,11651.73,11590.81,11647.46,1.08871E+11,11582.186,11577.433
'2019/11/28 00:00,11641.7,11654.06,11604.68,11617.08,1.04879E+11,11593.948,11594.099
'2019/11/29 00:00,11616.88,11623.59,11485.16,11489.57,1.19348E+11,11578.502,11590.496
'2019/12/02 00:00,11509.94,11524.85,11454.38,11502.83,1.13271E+11,11566.752,11580.801
'2019/12/03 00:00,11473.32,11531.58,11460.06,11531.58,1.07361E+11,11557.704,11568.319
'2019/12/04 00:00,11511.82,11513.83,11457.43,11510.47,1.04196E+11,11530.306,11556.246
'2019/12/05 00:00,11546.75,11604.39,11546.75,11594.65,1.21615E+11,11525.82,11559.884
'2019/12/06 00:00,11639.8,11657.65,11577.83,11609.64,1.09615E+11,11549.834,11564.168
'2019/12/09 00:00,11635.47,11678.36,11631.03,11660.77,1.20352E+11,11581.422,11574.087
'2019/12/10 00:00,11647.78,11649.73,11607.26,11627.84,1.03311E+11,11600.674,11579.189
'2019/12/11 00:00,11635.07,11700.77,11622.58,11700.77,1.2432E+11,11638.734,11584.52
'2019/12/12 00:00,11766.98,11875.98,11766.98,11836.42,1.50872E+11,11687.088,11606.454
'2019/12/13 00:00,11937.9,11990.78,11913.02,11927.73,1.70332E+11,11750.706,11650.27
'2019/12/16 00:00,11915.61,11975.73,11915.61,11939.77,1.35607E+11,11806.506,11693.964
'2019/12/17 00:00,11939.62,12097.01,11939.62,12097.01,1.54775E+11,11900.34,11750.507
'2019/12/18 00:00,12061.1,12125.9,12059.92,12122.45,1.47496E+11,11984.676,11811.705
'2019/12/19 00:00,12082.98,12111.77,12008.16,12018.9,1.36265E+11,12021.172,11854.13
'2019/12/20 00:00,12001.56,12028.22,11937.45,11959.08,1.68719E+11,12027.442,11889.074
'2019/12/23 00:00,11969.14,12022.23,11960.21,12022.23,1.11639E+11,12043.934,11925.22
'2019/12/24 00:00,12023.79,12027.6,11976.38,11976.38,1.03227E+11,12019.808,11960.074
'2019/12/25 00:00,11978.94,12032.37,11973.95,12008.13,90692672260,11996.944,11990.81
'2019/12/26 00:00,12018.38,12030.66,11982.64,12001.01,1.0026E+11,11993.366,12007.269
'2019/12/27 00:00,12032.72,12093.02,12032.72,12091.59,1.0838E+11,12019.868,12023.655
'2019/12/30 00:00,12094.81,12114.89,12046.22,12053.37,1.2443E+11,12026.096,12035.015
'2019/12/31 00:00,12019.19,12047.75,11997.14,11997.14,1.17409E+11,12030.248,12025.028
'2020/01/02 00:00,12026.5,12110.74,12026.23,12100.48,1.40956E+11,12048.718,12022.831
'2020/01/03 00:00,12167.44,12197.64,12023.6,12110.43,1.92777E+11,12070.602,12031.984
'2020/01/06 00:00,12035.71,12040.08,11953.36,11953.36,1.4308E+11,12042.956,12031.412
'2020/01/07 00:00,11961.97,11986.03,11822.4,11880.32,1.64812E+11,12008.346,12017.221
'2020/01/08 00:00,11818.76,11899.67,11777.45,11817.1,1.49515E+11,11972.338,12001.293
'2020/01/09 00:00,11889.46,11992.55,11889.46,11970.63,1.32276E+11,11946.368,11997.543
'2020/01/10 00:00,12009.27,12038.21,11959.06,12024.65,1.27409E+11,11929.212,11999.907
'2020/01/13 00:00,12069.61,12113.42,12037.24,12113.42,1.42322E+11,11961.224,12002.09
'2020/01/14 00:00,12161.73,12186.62,12140.27,12179.81,1.5292E+11,12021.122,12014.734
'2020/01/15 00:00,12169.92,12169.92,12048.01,12091.88,1.48663E+11,12076.078,12024.208
'2020/01/16 00:00,12006.08,12075.54,12006.08,12066.93,1.38661E+11,12095.338,12020.853
'2020/01/17 00:00,12080.72,12117.55,12055.91,12090.29,1.31267E+11,12108.466,12018.839
'2020/01/20 00:00,12107.56,12151.42,12101.55,12118.71,1.13316E+11,12109.524,12035.374
'2020/01/30 00:00,11933.23,11933.23,11418.22,11421.74,2.75416E+11,11957.91,11989.516
'2020/01/31 00:00,11494.03,11594.21,11436.95,11495.1,1.75277E+11,11838.554,11957.316
'2020/02/03 00:00,11365.9,11365.9,11138.03,11354.92,1.80168E+11,11696.152,11895.745
'2020/02/04 00:00,11399.46,11581.36,11393.03,11555.92,1.59701E+11,11589.278,11848.872
'2020/02/05 00:00,11601.55,11620.42,11512.71,11573.62,1.56965E+11,11480.26,11794.892
'2020/02/06 00:00,11605.11,11749.68,11605.11,11749.68,1.43122E+11,11545.848,11751.879
'2020/02/07 00:00,11712.71,11712.71,11592.09,11612.81,1.28618E+11,11569.39,11703.972
'2020/02/10 00:00,11514.72,11598.03,11423.34,11574.07,1.30789E+11,11613.22,11654.686
'2020/02/11 00:00,11614.25,11678.58,11614.25,11664.04,1.20704E+11,11634.844,11612.061
'2020/02/12 00:00,11693.4,11801.52,11693.4,11774.19,1.48794E+11,11674.958,11577.609
'2020/02/13 00:00,11813.5,11854.98,11784.94,11791.78,1.39526E+11,11683.378,11614.613
'2020/02/14 00:00,11806.52,11840.79,11788.87,11815.7,1.11675E+11,11723.956,11646.673
'2020/02/17 00:00,11770.3,11775.56,11724.82,11763.51,1.12112E+11,11761.844,11687.532
'2020/02/18 00:00,11700.91,11717.1,11642.95,11648.98,1.38776E+11,11758.832,11696.838
'2020/02/19 00:00,11655.37,11783.43,11654.16,11758.84,1.3688E+11,11755.762,11715.36
'2020/02/20 00:00,11785.78,11827.83,11714.15,11725.09,1.32413E+11,11742.424,11712.901
'2020/02/21 00:00,11721.16,11755.17,11661.63,11686.35,1.23576E+11,11716.554,11720.255
'2020/02/24 00:00,11615.28,11615.28,11512.08,11534.87,1.38188E+11,11670.826,11716.335
'2020/02/25 00:00,11506.74,11567.09,11415.47,11540.23,1.53815E+11,11649.076,11703.954
