date,time,open,close
'2023/07/04,09:45,17025,17035
'2023/07/04,10:45,17036,17049
'2023/07/04,11:45,17049,17064
'2023/07/04,12:45,17064,17104
'2023/07/04,13:45,17103,17106
'2023/07/05,09:45,17086,17067
'2023/07/05,10:45,17068,17040
'2023/07/05,11:45,17040,17054
'2023/07/05,12:45,17052,17002
'2023/07/05,13:45,17003,17005
'2023/07/06,09:45,16869,16886
'2023/07/06,10:45,16886,16806
'2023/07/06,11:45,16808,16735
'2023/07/06,12:45,16734,16717
'2023/07/06,13:45,16719,16686
'2023/07/07,09:45,16566,16551
'2023/07/07,10:45,16552,16619
'2023/07/07,11:45,16617,16661
'2023/07/07,12:45,16659,16638
'2023/07/07,13:45,16638,16623
'2023/07/10,09:45,16675,16669
'2023/07/10,10:45,16671,16678
'2023/07/10,11:45,16680,16570
'2023/07/10,12:45,16572,16654
'2023/07/10,13:45,16654,16550
'2023/07/11,09:45,16750,16804
'2023/07/11,10:45,16805,16849
'2023/07/11,11:45,16848,16856
'2023/07/11,12:45,16856,16842
'2023/07/11,13:45,16841,16870
'2023/07/12,09:45,16880,16891
'2023/07/12,10:45,16891,16900
'2023/07/12,11:45,16900,16869
'2023/07/12,12:45,16869,16884
'2023/07/12,13:45,16885,16925
'2023/07/13,09:45,17137,17229
'2023/07/13,10:45,17230,17221
'2023/07/13,11:45,17222,17238
'2023/07/13,12:45,17239,17187
'2023/07/13,13:45,17186,17084
'2023/07/14,09:45,17219,17167
'2023/07/14,10:45,17166,17241
'2023/07/14,11:45,17242,17278
'2023/07/14,12:45,17279,17304
'2023/07/14,13:45,17302,17292
'2023/07/17,09:45,17234,17282
'2023/07/17,10:45,17283,17328
'2023/07/17,11:45,17328,17277
'2023/07/17,12:45,17278,17294
'2023/07/17,13:45,17294,17291
'2023/07/18,09:45,17338,17210
'2023/07/18,10:45,17210,17243
'2023/07/18,11:45,17242,17270
'2023/07/18,12:45,17270,17255
'2023/07/18,13:45,17254,17225
'2023/07/19,09:45,17287,17289
'2023/07/19,10:45,17290,17220
'2023/07/19,11:45,17221,17223
'2023/07/19,12:45,17223,17120
'2023/07/19,13:45,17119,17102
'2023/07/20,09:45,17020,17141
'2023/07/20,10:45,17139,17095
'2023/07/20,11:45,17095,17110
'2023/07/20,12:45,17110,17084
'2023/07/20,13:45,17083,17126
'2023/07/21,09:45,16860,16874
'2023/07/21,10:45,16874,16945
'2023/07/21,11:45,16946,16934
'2023/07/21,12:45,16935,16952
'2023/07/21,13:45,16951,16944
'2023/07/24,09:45,16947,16939
'2023/07/24,10:45,16939,17003
'2023/07/24,11:45,17004,16965
'2023/07/24,12:45,16964,16941
'2023/07/24,13:45,16941,16981
'2023/07/25,09:45,17091,17146
'2023/07/25,10:45,17145,17138
'2023/07/25,11:45,17137,17173
'2023/07/25,12:45,17173,17204
'2023/07/25,13:45,17203,17180
'2023/07/26,09:45,17206,17110
'2023/07/26,10:45,17111,17153
'2023/07/26,11:45,17155,17164
'2023/07/26,12:45,17164,17127
'2023/07/26,13:45,17126,17102
'2023/07/27,09:45,17183,17222
'2023/07/27,10:45,17222,17260
'2023/07/27,11:45,17259,17221
'2023/07/27,12:45,17220,17250
'2023/07/27,13:45,17249,17221
'2023/07/28,09:45,17155,17227
'2023/07/28,10:45,17226,17233
'2023/07/28,11:45,17232,17267
'2023/07/28,12:45,17266,17259
'2023/07/28,13:45,17259,17262
'2023/07/31,09:45,17400,17375
'2023/07/31,10:45,17374,17327
'2023/07/31,11:45,17326,17072
'2023/07/31,12:45,17072,17082
'2023/07/31,13:45,17083,17100
'2023/08/01,09:45,17160,17112
'2023/08/01,10:45,17113,17130
'2023/08/01,11:45,17130,17150
'2023/08/01,12:45,17148,17169
'2023/08/01,13:45,17170,17182
'2023/08/02,09:45,17093,17133
'2023/08/02,10:45,17133,16907
'2023/08/02,11:45,16908,16879
'2023/08/02,12:45,16878,16841
'2023/08/02,13:45,16840,16814
'2023/08/04,09:45,16720,16797
'2023/08/04,10:45,16797,16821
'2023/08/04,11:45,16820,16809
'2023/08/04,12:45,16808,16819
'2023/08/04,13:45,16819,16824
'2023/08/07,09:45,16859,16884
'2023/08/07,10:45,16883,17001
'2023/08/07,11:45,17001,16991
'2023/08/07,12:45,16991,17006
'2023/08/07,13:45,17006,17002
'2023/08/08,09:45,17020,16840
'2023/08/08,10:45,16841,16870
'2023/08/08,11:45,16870,16838
'2023/08/08,12:45,16838,16877
'2023/08/08,13:45,16876,16853
'2023/08/09,09:45,16815,16892
'2023/08/09,10:45,16891,16840
'2023/08/09,11:45,16840,16841
'2023/08/09,12:45,16843,16826
'2023/08/09,13:45,16826,16852
'2023/08/10,09:45,16788,16613
'2023/08/10,10:45,16613,16610
'2023/08/10,11:45,16611,16645
'2023/08/10,12:45,16644,16624
'2023/08/10,13:45,16624,16660
'2023/08/11,09:45,16711,16686
'2023/08/11,10:45,16686,16644
'2023/08/11,11:45,16644,16635
'2023/08/11,12:45,16635,16627
'2023/08/11,13:45,16627,16625
'2023/08/14,09:45,16567,16438
'2023/08/14,10:45,16438,16362
'2023/08/14,11:45,16360,16324
'2023/08/14,12:45,16323,16366
'2023/08/14,13:45,16366,16378
'2023/08/15,09:45,16471,16516
'2023/08/15,10:45,16516,16486
'2023/08/15,11:45,16487,16461
'2023/08/15,12:45,16463,16472
'2023/08/15,13:45,16472,16422
'2023/08/16,09:45,16300,16385
'2023/08/16,10:45,16384,16389
'2023/08/16,11:45,16390,16373
'2023/08/16,12:45,16374,16345
'2023/08/16,13:45,16345,16364
'2023/08/17,09:45,16261,16306
'2023/08/17,10:45,16308,16416
'2023/08/17,11:45,16416,16460
'2023/08/17,12:45,16459,16466
'2023/08/17,13:45,16465,16454
'2023/08/18,09:45,16422,16509
'2023/08/18,10:45,16510,16422
'2023/08/18,11:45,16423,16391
'2023/08/18,12:45,16392,16339
'2023/08/18,13:45,16339,16352
'2023/08/21,09:45,16424,16393
