date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2015/06/05 00:00,724.895,728.124,719.514,726.289,733.6312,732.0523636
'2015/06/08 00:00,725.963,726.13,710.702,712.37,726.89,731.5001818
'2015/06/09 00:00,712.142,713.844,704.832,711.598,721.7536,730.7183636
'2015/06/10 00:00,715.358,723.301,714.878,720.938,719.401,731.2810909
'2015/06/11 00:00,722.028,724.337,719.877,720.534,718.3458,729.2978182
'2015/06/12 00:00,716.166,718.13,713.107,714.127,715.9134,726.6482727
'2015/06/15 00:00,706.754,713.168,703.133,712.63,715.9654,723.6684545
'2015/06/16 00:00,710.983,716.425,709.565,715.071,716.66,720.8498182
'2015/06/17 00:00,716.08,717.98,712.064,715.195,715.5114,718.8420909
'2015/06/18 00:00,717.644,728.567,717.572,725.596,716.5238,718.1961818
'2015/06/19 00:00,727.538,728.237,719.235,723.369,718.3722,717.9742727
'2015/06/22 00:00,728.077,729.59,724.135,728.22,721.4902,718.1498182
'2015/06/23 00:00,730.091,730.566,721.757,723.883,723.2526,719.1964545
'2015/06/24 00:00,722.8,724.75,716.409,716.491,723.5118,719.6412727
'2015/06/25 00:00,718.947,720.775,714.092,715.834,721.5594,719.1772727
'2015/06/26 00:00,708.136,708.823,695.367,698.357,716.557,717.1611818
'2015/06/29 00:00,684.978,692.992,677.503,678.068,706.5266,713.8830909
'2015/06/30 00:00,683.594,685.716,677.26,680.539,697.8578,710.9657273
'2015/07/01 00:00,687.617,690.868,680.54,682.132,690.986,707.9712727
'2015/07/02 00:00,683.583,687.245,682.17,685.511,684.9214,705.2727273
'2015/07/06 00:00,678.183,685.284,672.428,675.113,680.2726,700.6833636
'2015/07/07 00:00,673.493,674.653,652.882,672.914,679.2418,696.0965455
'2015/07/08 00:00,662.843,663.439,653.437,655.253,674.1846,689.4631818
'2015/07/09 00:00,665.799,667.809,646.53,646.639,667.086,682.441
'2015/07/10 00:00,654.247,661.131,653.656,658.879,661.7596,677.2035455
'2015/07/13 00:00,664.969,665.441,659.141,663.973,659.5316,672.4889091
'2015/07/14 00:00,667.931,672.673,666.723,671.158,659.1804,670.0162727
'2015/07/15 00:00,670.455,672.162,664.038,667.016,661.533,669.0115455
'2015/07/16 00:00,670.56,670.585,662.303,668.613,665.9278,667.9273636
'2015/07/17 00:00,666.896,667.667,661.689,667.055,667.563,666.5567273
'2015/07/20 00:00,669.694,670.749,662.137,662.504,667.2692,664.4651818
'2015/07/21 00:00,662.692,668.444,661.338,662.857,665.609,663.351
'2015/07/22 00:00,642.244,647.78,638.947,646.128,661.4314,660.9159091
'2015/07/23 00:00,650.952,663.666,650.722,655.514,658.8116,660.9396364
'2015/07/24 00:00,658.655,658.931,641.784,642.477,653.896,660.5612727
'2015/07/27 00:00,637.859,642.299,630.897,637.879,648.971,658.6521818
'2015/07/28 00:00,640.775,655.109,636.003,650.899,646.5794,657.4636364
'2015/07/29 00:00,648.947,652.909,644.614,651.746,647.703,655.6989091
'2015/07/30 00:00,648.838,656.235,646.362,654.153,647.4308,654.5295455
'2015/07/31 00:00,654.661,654.661,645.356,646.287,648.1928,652.4999091
'2015/08/03 00:00,645.853,647.059,640.945,644.353,649.4876,650.4360909
'2015/08/04 00:00,641.731,643.423,633.05,637.175,646.7428,648.1334545
'2015/08/05 00:00,639.951,649.224,639.721,644.619,645.3174,646.4754545
'2015/08/06 00:00,644.718,644.82,628.288,633.134,641.1136,645.2941818
'2015/08/07 00:00,631.636,637.536,630.218,636.823,639.2208,643.595
'2015/08/10 00:00,642.192,653.687,641.861,652.647,640.8796,644.5195455
'2015/08/11 00:00,644.706,646.007,635.175,637.853,641.0152,644.5171818
'2015/08/12 00:00,628.373,644.452,625.23,641.522,640.3958,643.6647273
'2015/08/13 00:00,641.287,643.596,634.751,634.869,640.7428,642.1304545
'2015/08/14 00:00,633.269,634.563,627.172,631.042,639.5866,640.0294545
'2015/08/17 00:00,627.075,637.384,625.297,637.25,636.5072,639.2079091
'2015/08/18 00:00,634.866,635.205,622.938,624.007,633.738,637.3582727
'2015/08/19 00:00,623.763,625.574,614.077,618.325,629.0986,635.6446364
'2015/08/20 00:00,610.601,612.004,594.773,594.777,621.0802,631.1135455
